               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.017886,           0.0051678,                   0,             0.96533,             0.89812,             0.92773,             0.53935,             0.03494,           0.0055652,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018683,           0.0060766,                   0,             0.94862,             0.90426,             0.91893,             0.52369,            0.035563,           0.0056545,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.018533,           0.0059652,                   0,             0.97671,             0.90169,             0.93353,             0.53206,            0.035233,           0.0056822,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018447,           0.0059772,                   0,             0.97655,             0.89543,             0.92926,             0.54052,            0.035471,           0.0056689,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.017911,           0.0057297,                   0,             0.97344,             0.90323,             0.92904,              0.5427,            0.035262,           0.0056582,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,             0.01779,           0.0057398,                   0,             0.95482,             0.90905,             0.92928,             0.54345,            0.035293,           0.0056111,                   0,            0.002674,            0.002674,            0.002674
                 150,             0.01816,           0.0058076,                   0,             0.96459,             0.90426,             0.92184,             0.53942,            0.035467,           0.0055934,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.018129,           0.0058271,                   0,             0.96311,             0.90426,             0.92298,             0.54219,            0.035285,           0.0055991,                   0,            0.002575,            0.002575,            0.002575
                 152,             0.01849,           0.0058376,                   0,             0.96269,             0.91398,             0.92937,             0.54691,             0.03517,           0.0055552,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.018434,           0.0056085,                   0,             0.96325,             0.90426,             0.91676,             0.52509,            0.035693,           0.0055494,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.018142,           0.0059071,                   0,             0.96152,             0.90426,             0.92168,             0.54325,            0.035122,           0.0055201,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.018552,           0.0058224,                   0,             0.95305,             0.90426,             0.92297,             0.54122,            0.035336,           0.0055581,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.017858,           0.0057079,                   0,             0.95504,             0.90385,             0.92219,             0.53196,             0.03564,           0.0055592,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.017119,           0.0057711,                   0,             0.95503,             0.90366,             0.92096,             0.54266,             0.03535,           0.0054851,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.017389,           0.0056324,                   0,             0.95499,             0.90283,             0.91706,             0.53535,            0.035657,           0.0054851,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.017688,           0.0056759,                   0,             0.94232,             0.90426,             0.91039,             0.54864,            0.035382,           0.0054923,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.017324,           0.0055505,                   0,              0.9431,             0.90426,             0.91298,             0.53921,            0.035316,           0.0054979,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,             0.01731,           0.0057874,                   0,             0.94354,             0.90426,             0.91491,             0.53872,            0.035317,           0.0055398,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.017344,           0.0059191,                   0,             0.94494,             0.91281,             0.91768,             0.53382,            0.035305,           0.0055191,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.017581,           0.0057568,                   0,             0.94228,             0.91489,             0.91858,             0.53691,            0.035548,            0.005499,                   0,            0.001981,            0.001981,            0.001981
